epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,2623.15,1.16636,0.51578,0.82378,0.63859,0.3652,0.40725,0.18308,2.08852,2.46794,1.01393,0.022445,0.022445,0.022445
169,2638.69,1.17162,0.52692,0.82125,0.51725,0.41984,0.40662,0.18484,2.1075,2.3659,1.01274,0.02228,0.02228,0.02228
170,2654.27,1.16208,0.51962,0.82069,0.60246,0.39843,0.41719,0.19222,2.07286,2.31903,1.00605,0.022115,0.022115,0.022115
171,2669.87,1.14169,0.51,0.82566,0.552,0.39184,0.4016,0.18777,2.06504,2.43668,1.00278,0.02195,0.02195,0.02195
172,2685.4,1.16108,0.51818,0.82393,0.59397,0.43394,0.44613,0.20138,2.07005,2.24085,1.00298,0.021785,0.021785,0.021785
173,2702.45,1.15649,0.51862,0.81971,0.54402,0.46309,0.44013,0.20676,2.04071,2.27762,0.99556,0.02162,0.02162,0.02162
174,2717.94,1.14943,0.51774,0.819,0.48414,0.48674,0.43833,0.19956,2.04749,2.25379,0.99447,0.021455,0.021455,0.021455
175,2733.36,1.14548,0.50716,0.8263,0.49329,0.46622,0.42044,0.19499,2.04414,2.39649,0.99747,0.02129,0.02129,0.02129
176,2748.89,1.12006,0.49943,0.82313,0.51883,0.4758,0.42902,0.19331,2.05556,2.38304,1.00072,0.021125,0.021125,0.021125
177,2764.35,1.13288,0.51124,0.82269,0.50031,0.43722,0.41888,0.19822,2.04377,2.47215,1.00186,0.02096,0.02096,0.02096
178,2779.86,1.14304,0.50886,0.82694,0.46409,0.45608,0.41598,0.19765,2.02897,2.39175,0.99913,0.020795,0.020795,0.020795
179,2795.36,1.13964,0.51279,0.82776,0.47967,0.43162,0.40208,0.19503,2.01312,2.45185,0.99748,0.02063,0.02063,0.02063
180,2810.91,1.10741,0.50449,0.81561,0.48404,0.44337,0.41527,0.19399,2.05361,2.42585,1.00409,0.020465,0.020465,0.020465
181,2826.44,1.13337,0.50622,0.8221,0.47476,0.43134,0.40222,0.18301,2.06768,2.39236,1.00107,0.0203,0.0203,0.0203
182,2842.06,1.11753,0.49413,0.81849,0.49754,0.41821,0.39977,0.18078,2.06398,2.53409,1.00361,0.020135,0.020135,0.020135
183,2857.54,1.12478,0.49834,0.82152,0.47979,0.4393,0.40396,0.18763,2.03269,2.56094,1.0038,0.01997,0.01997,0.01997
184,2872.96,1.09944,0.48936,0.81918,0.56869,0.37939,0.39419,0.18133,2.04478,2.49981,0.9958,0.019805,0.019805,0.019805
